IDPERSONA,PC1,PC2
3313,0.03500721,-0.032490604
3324,0.15004207,0.031331692
3326,0.036583338,-0.16994752
3333,0.054000534,0.009675816
3342,0.008045002,-0.2135292
3356,-0.24206883,0.118657395
3373,-0.24741927,0.11307862
3380,0.16829082,0.040852133
3403,0.0625496,0.038499385
3436,-0.08530857,0.0036936235
3439,0.0813721,0.063812986
3445,0.09122191,0.036812756
3454,-0.022315405,-0.24349158
3455,0.085405245,0.0056049637
3465,0.051486433,-0.06485806
3466,-0.018694958,-0.22437698
3467,0.06911189,-0.074229755
3471,0.024911253,-0.17377087
3474,-0.23456216,0.14198491
3491,0.030647896,-0.0039937296
3492,-0.017198555,-0.22106877
3497,-0.030732408,0.017261596
3503,0.084350035,-0.043311898
3519,-0.0226765,-0.21669832
3520,-0.25038445,0.108490765
3541,0.06539622,0.0096053695
3578,0.097827815,0.013435043
3581,-0.13462782,0.10853749
3587,0.095580496,0.08085066
3592,-0.033326603,0.022762153
3593,-0.017620204,-0.23103346
3596,-0.048882645,-0.012980401
3600,0.0035562043,-0.17657703
3612,-0.032277998,-0.23250668
3619,-0.004414143,-0.21707381
3634,0.041833796,-0.13451679
3651,-0.034998983,-0.05817837
3659,0.14063387,0.07292867
3678,0.10085656,0.03919234
3680,0.12934032,-0.0754909
3683,0.05124544,-0.051134635
3685,0.0977214,-0.09131615
3724,0.037381474,0.010747993
3725,0.02040382,-0.16565132
3727,0.12414113,-0.018006919
3728,-0.0027470826,-0.086153895
3729,-0.019136151,-0.20578864
3731,0.036182318,-0.013549227
3732,0.023186728,-0.15376568
3734,0.11862781,0.01704112
3735,0.14616996,0.06902179
3738,0.065816835,-0.119366206
3740,-0.00375673,-0.16464391
3757,-0.23496087,0.114004575
3758,-0.012919839,-0.048520572
3760,0.10025983,-0.045683358
3765,-0.00620543,-0.24621077
3771,0.07474542,-0.028764712
3773,0.022803375,-0.063424796
3774,-0.010043471,-0.0041478374
3775,0.015421849,-0.18275085
3776,-0.02666805,-0.035296734
3777,0.12770541,0.0014771634
3783,0.12139333,0.010243579
3788,0.14861465,-0.007540773
3792,0.080091976,0.006078141
3796,0.097689,-0.05731606
3800,0.039497953,-0.13480736
3801,0.08890385,-0.04162401
3802,0.035592232,-0.053838752
