IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2013-10-14,2013-12-31,1,PROFESOR PREGRADO,DESCONOCIDA
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2014-05-12,2014-10-03,1,PROFESOR PREGRADO,DESCONOCIDA
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2014-10-20,2015-03-13,2,PROFESOR NO TITULAR OCASIONAL (TP),DESCONOCIDA
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2015-05-11,2015-10-02,1,PROFESOR NO TITULAR OCASIONAL (TP),DESCONOCIDA
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2015-10-19,2016-02-28,1,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2016-05-02,2016-09-23,1,PROFESOR NO TITULAR OCASIONAL 1 (TP),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS
2167,DOCENTE,TECNICO_DOCENTE_APOYO,2023-06-15,,9,TÉCNICO DE INVESTIGACIÓN 2 (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,1999-10-19,2000-03-03,1,PROFESOR PREGRADO,DESCONOCIDA
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,2000-05-15,2000-09-22,1,PROFESOR PREGRADO,DESCONOCIDA
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,2002-10-21,2003-03-07,1,PROFESOR PREGRADO,DESCONOCIDA
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,2003-05-19,2014-09-30,23,PROFESOR TITULAR AGREGADO (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2178,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2014-10-01,2016-04-12,4,DECANO(A),DESCONOCIDA
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,2016-04-13,2019-09-30,3,PROFESOR TITULAR AGREGADO 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2178,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2019-10-01,2021-05-02,1,DECANO(A),DESCONOCIDA
2178,DOCENTE,DOCENTE_TITULAR_CARRERA,2021-05-03,,16,PROFESOR TITULAR AGREGADO 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS
2194,DOCENTE,DOCENTE_TITULAR_CARRERA,2004-10-18,2005-03-08,1,PROFESOR,DESCONOCIDA
