IDPERSONA,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES
65944,2.0,2.0,58.0
634801,19.0,3.0,2311.0
652563,14.0,3.0,445.0
59980,6.0,2.0,823.0
65191,25.0,6.0,1703.0
73384,17.0,3.0,703.0
665432,15.0,4.0,451.0
65745,7.0,2.0,492.0
65380,19.0,5.0,2276.0
60838,18.0,4.0,1488.0
659674,48.0,7.0,4665.0
59754,3.0,2.0,71.0
647813,2.0,2.0,315.0
59964,9.0,3.0,615.0
73563,45.0,3.0,1535.0
67973,23.0,5.0,1509.0
634614,15.0,3.0,626.0
66201,2.0,2.0,51.0
550294,5.0,2.0,209.0
59955,46.0,7.0,3983.0
65359,54.0,7.0,5182.0
65898,8.0,3.0,436.0
644211,2.0,2.0,195.0
653770,34.0,5.0,3608.0
656785,0.0,0.0,0.0
65182,15.0,3.0,578.0
66209,14.0,4.0,540.0
66205,5.0,2.0,91.0
644382,76.0,8.0,6349.0
74967,32.0,4.0,1274.0
66041,28.0,5.0,1680.0
58670,2.0,2.0,307.0
61359,23.0,4.0,1041.0
634762,40.0,3.0,2393.0
59966,11.0,3.0,484.0
66025,54.0,8.0,4977.0
65367,61.0,8.0,3405.0
658688,3.0,2.0,183.0
662717,15.0,6.0,1100.0
90862,29.0,3.0,1479.0
65364,40.0,6.0,3910.0
65378,24.0,4.0,1289.0
65363,26.0,5.0,2061.0
60687,1.0,1.0,9.0
65357,20.0,3.0,1712.0
59822,33.0,5.0,2242.0
651513,2.0,1.0,24.0
662829,23.0,3.0,1078.0
659622,7.0,3.0,341.0
639460,7.0,3.0,621.0
91014,11.0,3.0,484.0
65192,18.0,6.0,1473.0
66177,59.0,8.0,4915.0
634588,13.0,3.0,374.0
663105,19.0,3.0,813.0
68186,14.0,5.0,1001.0
60187,17.0,2.0,550.0
98297,5.0,2.0,139.0
73677,15.0,3.0,755.0
74221,4.0,2.0,113.0
652979,3.0,2.0,82.0
65177,9.0,2.0,395.0
66011,13.0,4.0,850.0
647105,58.0,3.0,3161.0
63189,26.0,3.0,1000.0
658363,10.0,4.0,284.0
74389,1.0,1.0,23.0
66284,17.0,3.0,970.0
638404,41.0,3.0,1953.0
60168,23.0,2.0,869.0
74288,32.0,4.0,1497.0
73548,30.0,3.0,1514.0
65520,44.0,3.0,2086.0
634593,23.0,4.0,2249.0
73562,34.0,4.0,1523.0
653852,79.0,7.0,7764.0
65521,26.0,4.0,1203.0
66062,10.0,3.0,893.0
662149,9.0,2.0,233.0
655997,1.0,1.0,17.0
656003,23.0,4.0,1234.0
60474,38.0,6.0,3119.0
660727,32.0,6.0,1994.0
60402,6.0,2.0,199.0
654580,2.0,1.0,46.0
66149,64.0,5.0,3799.0
68232,43.0,5.0,1896.0
90825,10.0,2.0,246.0
73495,3.0,1.0,81.0
65828,49.0,5.0,4912.0
68084,42.0,5.0,4083.0
73767,7.0,3.0,132.0
659653,29.0,3.0,1509.0
73422,54.0,7.0,3252.0
74424,3.0,1.0,97.0
82513,19.0,3.0,862.0
74205,19.0,4.0,1026.0
68616,10.0,3.0,370.0
656002,30.0,4.0,1770.0
666633,16.0,3.0,785.0
73763,24.0,6.0,2184.0
103143,44.0,6.0,3852.0
81761,35.0,5.0,3043.0
634625,35.0,4.0,4631.0
659664,20.0,3.0,687.0
71002,6.0,2.0,260.0
642094,5.0,3.0,226.0
68741,6.0,3.0,193.0
60114,63.0,8.0,5924.0
73837,41.0,4.0,2661.0
73742,5.0,2.0,212.0
634728,25.0,5.0,2493.0
634661,16.0,5.0,1382.0
669374,2.0,1.0,36.0
73803,25.0,2.0,1328.0
639558,5.0,2.0,148.0
73485,39.0,7.0,3437.0
73639,30.0,3.0,1293.0
639791,52.0,8.0,3091.0
65565,10.0,2.0,429.0
73753,14.0,3.0,459.0
102970,21.0,4.0,763.0
639500,23.0,5.0,1474.0
660685,0.0,0.0,0.0
658682,0.0,0.0,0.0
665145,20.0,4.0,1947.0
74185,29.0,3.0,1326.0
65904,46.0,3.0,2438.0
103218,7.0,2.0,291.0
95548,18.0,3.0,762.0
662688,40.0,6.0,3380.0
74410,2.0,1.0,61.0
655779,6.0,2.0,254.0
73836,7.0,3.0,589.0
73427,60.0,6.0,3135.0
99852,29.0,3.0,1043.0
91688,7.0,3.0,257.0
73498,51.0,7.0,4383.0
73782,13.0,4.0,805.0
668363,36.0,6.0,1943.0
85583,13.0,4.0,562.0
642325,16.0,5.0,827.0
66315,53.0,5.0,2586.0
73833,15.0,3.0,819.0
654509,17.0,3.0,946.0
639243,7.0,3.0,435.0
634579,8.0,3.0,752.0
74289,22.0,2.0,789.0
662851,4.0,3.0,221.0
74334,3.0,2.0,78.0
71044,29.0,5.0,1841.0
639213,8.0,3.0,334.0
97762,24.0,2.0,850.0
646897,23.0,3.0,1020.0
638933,9.0,3.0,680.0
654527,20.0,3.0,841.0
73683,26.0,3.0,1003.0
634521,9.0,3.0,378.0
638611,8.0,3.0,566.0
639790,13.0,2.0,600.0
69419,3.0,2.0,118.0
74261,113.0,7.0,6363.0
643195,4.0,2.0,89.0
634492,9.0,2.0,332.0
644316,26.0,3.0,1081.0
73466,14.0,2.0,695.0
72101,31.0,6.0,3073.0
73609,12.0,3.0,747.0
634748,7.0,3.0,264.0
639423,9.0,2.0,280.0
634645,15.0,2.0,775.0
656781,3.0,3.0,129.0
639024,46.0,7.0,3446.0
654402,6.0,2.0,157.0
677462,10.0,3.0,325.0
645202,37.0,4.0,4677.0
73526,24.0,3.0,1144.0
73831,5.0,2.0,104.0
649630,17.0,3.0,509.0
654351,7.0,2.0,228.0
634473,1.0,1.0,185.0
634709,18.0,3.0,715.0
643248,40.0,6.0,2337.0
73646,8.0,1.0,342.0
73715,15.0,5.0,1213.0
634773,9.0,2.0,409.0
73724,17.0,3.0,774.0
84005,28.0,3.0,1259.0
73799,25.0,5.0,1284.0
71027,17.0,3.0,730.0
75199,15.0,3.0,586.0
643247,26.0,5.0,2212.0
73396,13.0,3.0,469.0
643396,7.0,3.0,893.0
69846,4.0,2.0,79.0
639250,19.0,5.0,2075.0
638781,2.0,1.0,23.0
638504,26.0,6.0,1484.0
97687,45.0,4.0,2815.0
73399,22.0,7.0,1654.0
660654,8.0,2.0,470.0
73369,57.0,5.0,4417.0
71557,11.0,3.0,361.0
83284,6.0,2.0,254.0
634789,8.0,3.0,940.0
73569,43.0,6.0,2284.0
644365,19.0,5.0,1152.0
642404,77.0,4.0,2901.0
74257,15.0,4.0,755.0
662864,6.0,3.0,189.0
642062,20.0,2.0,1255.0
662110,21.0,3.0,993.0
662109,33.0,5.0,1582.0
639176,6.0,4.0,95.0
639269,13.0,5.0,864.0
634797,14.0,5.0,1030.0
643053,1.0,1.0,290.0
642433,19.0,3.0,1090.0
639300,92.0,8.0,9906.0
638638,18.0,2.0,778.0
634684,6.0,2.0,244.0
94929,17.0,3.0,819.0
70986,3.0,2.0,142.0
78638,5.0,1.0,144.0
642311,55.0,6.0,3046.0
638903,1.0,1.0,16.0
643054,17.0,4.0,891.0
644312,4.0,1.0,77.0
634587,40.0,3.0,1399.0
638661,5.0,3.0,262.0
659590,10.0,3.0,286.0
683663,2.0,1.0,63.0
634493,16.0,3.0,633.0
645471,0.0,0.0,0.0
639501,23.0,6.0,1223.0
659680,30.0,5.0,1510.0
643789,9.0,4.0,351.0
660730,13.0,6.0,764.0
638513,31.0,6.0,1789.0
638941,19.0,4.0,647.0
639308,11.0,4.0,620.0
646794,12.0,3.0,462.0
669476,22.0,3.0,752.0
639198,53.0,7.0,4881.0
644630,57.0,3.0,2549.0
643699,23.0,3.0,816.0
643537,13.0,3.0,422.0
74517,9.0,2.0,471.0
642192,60.0,7.0,5043.0
